,file,label,prob
0,data/input/window.jpg,window,0.6807
1,data/input/window.jpg,windowsill,0.0729
2,data/input/window.jpg,wall,0.01677
3,data/input/window.jpg,door,0.01135
4,data/input/window.jpg,curtain,0.0105
5,data/input/window.jpg,mantle,0.00818
6,data/input/window.jpg,doorbell,0.006886
7,data/input/window.jpg,air conditioner,0.00496
8,data/input/window.jpg,awning,0.004517
9,data/input/window.jpg,doorknocker,0.004242
10,data/input/window.jpg,mold,0.004177
11,data/input/window.jpg,mold,0.004177
12,data/input/window.jpg,gutter,0.003572
13,data/input/window.jpg,handle,0.003355
14,data/input/window.jpg,dollhouse,0.003355
15,data/input/window.jpg,trapdoor,0.00287
16,data/input/window.jpg,shutter,0.002573
17,data/input/window.jpg,vent,0.002533
18,data/input/window.jpg,thermostat,0.002132
19,data/input/window.jpg,squeegee,0.002003
20,data/input/window.jpg,dresser,0.001824
21,data/input/window.jpg,cot,0.001768
22,data/input/window.jpg,keyhole,0.00174
23,data/input/window.jpg,doorhandle,0.001687
24,data/input/window.jpg,windshield,0.00161
25,data/input/window.jpg,screen,0.00161
26,data/input/window.jpg,screen,0.00161
27,data/input/window.jpg,polisher,0.001513
28,data/input/window.jpg,cabinet,0.001513
29,data/input/window.jpg,nest,0.001466
30,data/input/window.jpg,stained glass,0.001421
31,data/input/window.jpg,plastic film,0.001356
32,data/input/window.jpg,mosquito net,0.001356
33,data/input/window.jpg,dumbwaiter,0.001293
34,data/input/window.jpg,glass,0.001215
35,data/input/window.jpg,photograph,0.001142
36,data/input/window.jpg,shaker,0.001106
37,data/input/window.jpg,cuckoo clock,0.001106
38,data/input/window.jpg,frame,0.001089
39,data/input/window.jpg,piecrust,0.001073
40,data/input/window.jpg,birdhouse,0.001007
41,data/input/window.jpg,oven,0.001007
42,data/input/window.jpg,radiator,0.000977
43,data/input/window.jpg,thimble,0.000977
44,data/input/window.jpg,latch,0.0009613
45,data/input/window.jpg,ice,0.0009465
46,data/input/window.jpg,hinge,0.0009174
47,data/input/window.jpg,mail,0.000903
48,data/input/window.jpg,porthole,0.0008893
49,data/input/window.jpg,cornhusk,0.0008483
50,data/input/window.jpg,rust,0.000822
51,data/input/window.jpg,fan,0.000797
52,data/input/window.jpg,sheet,0.0007844
53,data/input/window.jpg,handkerchief,0.0007844
54,data/input/window.jpg,painting,0.0007844
55,data/input/window.jpg,doorknob,0.0007844
56,data/input/window.jpg,rag,0.0007606
57,data/input/window.jpg,chinaware,0.0007486
58,data/input/window.jpg,doormat,0.000737
59,data/input/window.jpg,slot,0.0007033
60,data/input/window.jpg,staple gun,0.0007033
61,data/input/window.jpg,palette,0.0006924
62,data/input/window.jpg,dryer,0.000682
63,data/input/window.jpg,washboard,0.000682
64,data/input/window.jpg,quilt,0.0006504
65,data/input/window.jpg,thumbtack,0.0006404
66,data/input/window.jpg,shears,0.0006304
67,data/input/window.jpg,eggshell,0.0006113
68,data/input/window.jpg,trowel,0.0006113
69,data/input/window.jpg,lid,0.000583
70,data/input/window.jpg,stove,0.000574
71,data/input/window.jpg,stove,0.000574
72,data/input/window.jpg,tile,0.000565
73,data/input/window.jpg,doghouse,0.000565
74,data/input/window.jpg,yoke,0.0005565
75,data/input/window.jpg,saw,0.000548
76,data/input/window.jpg,counter,0.0005393
77,data/input/window.jpg,wreath,0.0005226
78,data/input/window.jpg,lime,0.0005226
79,data/input/window.jpg,shelf,0.0005145
80,data/input/window.jpg,grille,0.0005145
81,data/input/window.jpg,doorstop,0.0005064
82,data/input/window.jpg,computer screen,0.0005064
83,data/input/window.jpg,knob,0.0005064
84,data/input/window.jpg,key,0.000499
85,data/input/window.jpg,viewfinder,0.000499
86,data/input/window.jpg,basketball hoop,0.0004685
