,uniqueID,label,prob
0,window,window,0.68128455
1,window,windowsill,0.07327873
2,window,wall,0.016409494
3,window,door,0.011277811
4,window,curtain,0.010492645
5,window,mantle,0.008236825
6,window,doorbell,0.0067817234
7,window,air conditioner,0.004869529
8,window,awning,0.004498539
9,window,doorknocker,0.0043082596
10,window,mold,0.004189646
11,window,mold,0.004189646
12,window,gutter,0.0035550075
13,window,dollhouse,0.003399933
14,window,handle,0.00332674
15,window,trapdoor,0.0028630581
16,window,shutter,0.0026227885
17,window,vent,0.002535286
18,window,thermostat,0.0021288334
19,window,squeegee,0.0019789918
20,window,dresser,0.0018331925
21,window,cot,0.0017741192
22,window,keyhole,0.0017465773
23,window,doorhandle,0.0016825369
24,window,windshield,0.0016105638
25,window,screen,0.0015924744
26,window,screen,0.0015924744
27,window,polisher,0.001509805
28,window,cabinet,0.0015021815
29,window,nest,0.0014454855
30,window,stained glass,0.0014331756
31,window,plastic film,0.0013604382
32,window,mosquito net,0.0013424566
33,window,dumbwaiter,0.0013018163
34,window,glass,0.0012019092
35,window,photograph,0.0011272988
36,window,shaker,0.0011051302
37,window,cuckoo clock,0.001102366
38,window,frame,0.0010814733
39,window,piecrust,0.0010532923
40,window,oven,0.0010104482
41,window,birdhouse,0.0010048554
42,window,radiator,0.0009762119
43,window,thimble,0.00096221984
44,window,latch,0.00094990013
45,window,ice,0.00093654956
46,window,hinge,0.0009286748
47,window,mail,0.0009055906
48,window,porthole,0.0008855006
49,window,cornhusk,0.00085058255
50,window,rust,0.00080216804
51,window,doorknob,0.00079783454
52,window,fan,0.0007926638
53,window,painting,0.00078826584
54,window,handkerchief,0.00078576047
55,window,sheet,0.0007777697
56,window,rag,0.00075059634
57,window,chinaware,0.0007445634
58,window,doormat,0.0007396151
59,window,slot,0.00070704456
60,window,staple gun,0.0007019291
61,window,dryer,0.0006915253
62,window,palette,0.0006841404
63,window,washboard,0.00067684613
64,window,quilt,0.00065685937
65,window,thumbtack,0.00063932705
66,window,shears,0.000625818
67,window,eggshell,0.0006168434
68,window,trowel,0.000611195
69,window,lid,0.0005795271
70,window,stove,0.0005712426
71,window,stove,0.0005712426
72,window,tile,0.00056424184
73,window,doghouse,0.0005618963
74,window,yoke,0.0005511575
75,window,saw,0.00053763675
76,window,counter,0.00052875455
77,window,wreath,0.00052574964
78,window,lime,0.00052201556
79,window,grille,0.00051649805
80,window,shelf,0.0005079893
81,window,key,0.0005075061
82,window,computer screen,0.0005050177
83,window,doorstop,0.0005033982
84,window,knob,0.0004998562
85,window,viewfinder,0.0004948201
86,window,mitten,0.00046420703
87,window,basketball hoop,0.00046335693
88,window,wind chimes,0.0004622932
89,window,canvas,0.00045859412
90,window,scaffold,0.00045557588
91,window,wood,0.0004508707
92,window,springboard,0.00042253875
93,window,closet,0.00041251926
94,window,scraper,0.00040927465
95,window,rim,0.00040806958
96,window,pinwheel,0.00039770157
97,window,inkwell,0.00039183313
98,window,doily,0.0003897721
99,window,paint,0.000387679
100,window,honeypot,0.0003807176
101,window,refrigerator,0.00037455212
102,window,gong,0.0003648575
103,window,seagull,0.00036421992
104,window,pigeon,0.00036185456
105,window,duct,0.00035843096
106,window,lens,0.0003519847
107,window,magnifier,0.0003498462
108,window,dartboard,0.00033819512
109,window,dish,0.00033605454
110,window,jigsaw puzzle,0.00033240303
111,window,banner,0.00033172595
112,window,urn,0.0003315501
113,window,dashboard,0.00032769368
114,window,windshield wiper,0.00032739132
115,window,bonnet,0.00032685473
116,window,ivy,0.00032178854
117,window,wrap,0.00032095794
118,window,mailbox,0.00031825743
119,window,scarecrow,0.00031770853
120,window,eggbeater,0.00031652665
121,window,wooden leg,0.0003129745
122,window,saltshaker,0.000312604
123,window,bark,0.00031076052
124,window,pot,0.00031040507
125,window,gauze,0.00031031214
126,window,home plate,0.00030843687
127,window,rudder,0.00030138792
128,window,vase,0.00030000455
129,window,gasket,0.00029963398
130,window,router,0.0002987751
131,window,cloak,0.00029807328
132,window,album,0.00029720357
133,window,carriage,0.00029632734
134,window,emerald,0.00029379426
135,window,sewing machine,0.00029249093
136,window,bow,0.00029092637
137,window,bow,0.00029092637
138,window,bow,0.00029092637
139,window,plaster cast,0.0002888882
140,window,gurney,0.00027688578
141,window,spout,0.0002741631
142,window,fireplace,0.00026335346
143,window,arch,0.00026164568
144,window,wheel,0.00025973978
145,window,sheath,0.0002568528
146,window,contact lens,0.00025487147
147,window,tablet,0.0002509861
148,window,sifter,0.00025075738
149,window,bell,0.00024972548
150,window,computer,0.0002490752
151,window,stem,0.00024862855
152,window,dial,0.0002477953
153,window,boxer shorts,0.00024640685
154,window,hole,0.00024493365
155,window,petal,0.00024389407
156,window,mulberry,0.00024386152
157,window,peeler,0.00024348688
158,window,jersey,0.00024332301
159,window,easel,0.00024148516
160,window,turkey,0.00023734078
161,window,chimney,0.00023579987
162,window,tab,0.00023494376
163,window,peppermint,0.00023466295
164,window,folder,0.00023437309
165,window,thermometer,0.00023305093
166,window,icemaker,0.00023042325
167,window,crib,0.00022876183
168,window,funnel,0.00022861395
169,window,gramophone,0.00022797298
170,window,cocoon,0.00021712462
171,window,paperweight,0.00021509457
172,window,peacock,0.00021445839
173,window,chute,0.00021068778
174,window,music box,0.00021001216
175,window,railing,0.00020968195
176,window,dagger,0.00020932351
177,window,beaker,0.00020867614
178,window,chair,0.00020851301
179,window,furnace,0.00020675306
180,window,retainer,0.0002062729
181,window,loom,0.00020611442
182,window,board,0.00020566791
183,window,icicle,0.0002055977
184,window,garter,0.00020534414
185,window,prune,0.00020525798
186,window,wing,0.00020447688
187,window,mirror,0.00020259482
188,window,eye,0.00020170108
189,window,trough,0.00020057203
190,window,bench,0.00020022612
191,window,ottoman,0.0001974376
192,window,table,0.00019738676
193,window,wineglass,0.00019720914
194,window,clasp,0.00019382869
195,window,car door,0.00019309658
196,window,mint,0.00019132622
197,window,generator,0.00019039429
198,window,penholder,0.00019005795
199,window,candlestick,0.00018850015
200,window,paper,0.0001870261
201,window,jar,0.00018398504
202,window,peg,0.00018393452
203,window,television,0.0001835998
204,window,jug,0.00018129197
205,window,thread,0.00018085887
206,window,drawer,0.00017975528
207,window,lectern,0.00017914089
208,window,patch,0.00017450981
209,window,veil,0.00017332258
210,window,dishrag,0.00016984579
211,window,blanket,0.00016974572
212,window,woman,0.00016899979
213,window,binoculars,0.00016784013
214,window,chalk,0.00016771212
215,window,paintbrush,0.00016751006
216,window,wick,0.00016691718
217,window,razor blade,0.0001658123
218,window,orange,0.00016564444
219,window,ring,0.0001646745
220,window,ladder,0.00016386238
221,window,bedpan,0.00016345315
222,window,skeleton,0.00016340702
223,window,leek,0.00016243933
224,window,box,0.0001623105
225,window,wine cooler,0.0001621963
226,window,barnacle,0.00016111284
227,window,spam,0.00016063386
228,window,clothesline,0.00016009736
229,window,telegraph,0.00015839825
230,window,toolbox,0.00015635352
231,window,water filter,0.00015543176
232,window,cushion,0.00015496877
233,window,potholder,0.00015458943
234,window,remote control,0.00015456171
235,window,cape,0.00015453312
236,window,brake,0.00015445768
237,window,cymbal,0.00015344638
238,window,broom,0.00015140722
239,window,pheasant,0.00014949779
240,window,stereo,0.00014944078
241,window,bush,0.00014943707
242,window,flypaper,0.00014940856
243,window,spool,0.00014908206
244,window,poster,0.00014788579
245,window,rattle,0.00014756457
246,window,bracket,0.00014699656
247,window,rooster,0.00014686541
248,window,scaffolding,0.00014602493
249,window,eyepiece,0.000145849
250,window,owl,0.00014557387
251,window,pan,0.00014444899
252,window,triangle,0.00014383947
253,window,quad,0.00014103315
254,window,fence,0.00014097881
255,window,saddle,0.0001408979
256,window,saucer,0.00014081354
257,window,bib,0.0001398121
258,window,block,0.00013868175
259,window,hip,0.00013853316
260,window,pitcher,0.00013848138
261,window,horseshoe,0.00013680564
262,window,freezer,0.00013664032
263,window,racehorse,0.00013621486
264,window,can,0.00013576588
265,window,elbow,0.0001347669
266,window,pallet,0.00013290092
267,window,man,0.00013260543
268,window,wax,0.00013258772
269,window,basketball,0.00013244744
270,window,bedpost,0.00013229696
271,window,brush,0.00013217439
272,window,waterwheel,0.00013182167
273,window,football,0.00013170631
274,window,clover,0.00013076689
275,window,place mat,0.00013051371
276,window,hedge,0.00013018827
277,window,flashbulb,0.00012919115
278,window,snow,0.00012908573
279,window,snowshoe,0.00012746363
280,window,shield,0.00012708105
281,window,parrot,0.00012613395
282,window,container,0.00012579207
283,window,iron,0.0001257002
284,window,mussel,0.00012548557
285,window,razor,0.0001250438
286,window,chalkboard,0.00012467205
287,window,nutcracker,0.00012445229
288,window,potpourri,0.00012429786
289,window,tee,0.00012340445
290,window,cream,0.000122932
291,window,chime,0.00012253407
292,window,guardrail,0.00012232436
